7zip 26.02-1
aalib 1.4rc5-19
abseil-cpp 20260817.0-1
accountsservice 26.27.3-1
acl 2.4.0-1
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-6
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
amd-ucode 20260810-2
android-studio 2026.1.3.8-1
aom 3.14.1-1
apache 2.4.68-1
appstream 1.1.6-1
apr 1.7.6-1
apr-util 1.6.5-1
archlinux-keyring 20260727-1
arm-none-eabi-binutils 2.47-1
arm-none-eabi-gcc 16.2.0-1
arm-none-eabi-newlib 4.6.0.20260123-1
at-spi2-core 2.60.6-1
atkmm 2.28.5-2
attr 2.6.0-1
audit 4.2.1-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
baidunetdisk-bin 8.7.0-2
baobab 50.0-1
base 3-3
base-devel 1-2
bash 5.3.15-1
binutils 2.47-4
bison 3.8.2-8
bluez 5.87-2
bluez-libs 5.87-2
bluez-obex 5.87-2
bluez-utils 5.87-2
bolt 0.9.11-3
boost-libs 1.92.0-1
brltty 6.9.1-3
brotli 1.2.0-1
btrfs-progs 7.1-1
bubblewrap 0.12.0-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.127-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.6-1
cairomm-1.16 1.18.1-1
capstone 5.0.9-1
ccache 4.13.6-1
cdparanoia 10.2-10
chromaprint 1.6.1-2
cifs-utils 7.5-1
cinnamon-desktop 6.6.2-2
claude-desktop 1.40609.0-1
colord 1.4.8-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.8-1
containerd 2.3.4-1
coreutils 9.11-2
cpio 2.15-3
cracklib 2.10.3-1
cryptsetup 2.8.7-1
csjplayer 0.5.1-1
cups-pk-helper 0.2.7-2
curl 8.21.0-1
currencycal r3.385201b-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-2
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.42-1
dfu-util 0.11-3
diffutils 3.12-2
djvulibre 3.5.30.1-1
dkms 3.4.3-2
dnsmasq 2.93-1
docker 1:29.7.2-1
docker-compose 5.5.0-1
dotconf 1.4.1-1
double-conversion 3.4.0-1
dtc 1:1.8.1-1
duktape 2.7.0-7
e2fsprogs 1.47.4-1
editorconfig-core-c 0.12.11-1
edk2-ovmf 202605-1
efibootmgr 18-4
efivar 39-2
egl-wayland 4:1.1.21-1
eglexternalplatform 1.2.1-1
eim-gui 0.18.0-1
elfutils 0.196-1
enchant 2.8.15-2
epiphany 50.6-1
espeak-ng 1.52.0-1
evince 1:48.4-1
evolution-data-server 3.60.2-3
exempi 2.6.6-3
exiv2 0.28.8-2
expat 2.8.3-1
extension-manager 0.6.5-1
faac 2.1-1
faad2 2.11.2-1
fakeroot 1:1.37.2-3
fcitx5 5.1.21-1
fcitx5-chewing 5.1.12-1
fcitx5-configtool 5.1.14-1
fcitx5-gtk 5.1.7-1
fcitx5-mcbopomofo-git 3.1.r1.03ceb34-1
fcitx5-mozc 3.34.6239.2-1
fcitx5-qt 5.1.14-2
ffmpeg 2:9.0.1-4
fftw 3.3.11-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
flac 1.5.0-1
flex 2.6.4-6
fluidsynth 2.6.0-1
fmt 12.2.0-1
fontconfig 2:2.18.3-2
freeglut 3.8.0-1
freerdp 2:3.31.0-1
freetype2 2.14.3-1
fribidi 1.0.16-2
fuse-common 3.18.2-1
fuse2 2.9.9-6
fuse3 3.18.2-1
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.2.1+r23+gd564253eb6c8-1
gcc-libs 16.2.1+r23+gd564253eb6c8-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
gdm 50.2-1
geoclue 2.8.2-1
geocode-glib 3.26.4-6
gettext 1.0-2
gexiv2 0.16.2-2
gexiv2-common 0.16.2-2
ggml 0.22.0-1
ghostscript 10.07.1-1
ghostty 1.3.1-2
ghostty-shell-integration 1.3.1-2
ghostty-terminfo 1.3.1-2
giflib 6.1.3-2
git 2.55.0-1
github-cli 2.98.0-1
gjs 2:1.88.1-1
glib-networking 1:2.80.1-1
glib2 2.88.3-1
glibc 2.44+r24+g16be1518495f-1
glibmm 2.66.10-1
glibmm-2.68 2.88.1-1
glslang 1:1.4.357.0-1
glu 9.0.3-3
glycin 2.1.5-2
glycin-gtk4 2.1.5-2
gmp 6.3.0-3
gnome-app-list 3.0-1
gnome-autoar 0.4.5-1
gnome-backgrounds 50.0-1
gnome-bluetooth-3.0 47.2-1
gnome-calculator 50.0-1
gnome-calendar 50.0-2
gnome-characters 50.0-1
gnome-clocks 50.0-2
gnome-color-manager 3.36.2-2
gnome-connections 50.0-1
gnome-console 50.0-1
gnome-control-center 50.4-1
gnome-desktop 1:44.5-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnome-disk-utility 46.1-3
gnome-font-viewer 50.0-1
gnome-keybindings 50.4-1
gnome-keyring 1:50.0-1
gnome-logs 50.0-1
gnome-maps 50.4-1
gnome-menus 3.38.1-1
gnome-online-accounts 3.58.1-1
gnome-remote-desktop 50.2-1
gnome-session 50.1-1
gnome-settings-daemon 50.1-1
gnome-shell 1:50.4-1
gnome-shell-extension-appindicator 1:65-1
gnome-shell-extension-dash-to-dock 1:106-1
gnome-software 50.3-1
gnome-system-monitor 50.0-1
gnome-text-editor 50.1-1
gnome-tour 50.0-1
gnome-tweaks 49.0-2
gnome-user-docs 50.4-1
gnome-user-share 48.3-1
gnome-weather 50.0-1
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnutls 3.8.13-2
gobject-introspection-runtime 1.86.0-2
gom 0.5.6-1
google-chrome 152.0.7977.64-1
gperftools 2.18.1-1
gpgme 2.1.2-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.15-1
grep 3.12-2
grilo 0.3.19-2
grilo-plugins 1:0.3.18-3
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsm 1.0.24-1
gsound 1.0.3-4
gspell 1.14.4-1
gssdp 1.6.6-1
gst-devtools-libs 1.28.6-2
gst-editing-services 1.28.6-2
gst-plugin-gtk 1.28.6-2
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad 1.28.6-2
gst-plugins-bad-libs 1.28.6-2
gst-plugins-base 1.28.6-2
gst-plugins-base-libs 1.28.6-2
gst-plugins-good 1.28.6-2
gst-python 1.28.6-2
gst-thumbnailers 1.0.0-1
gstreamer 1.28.6-2
gtest 1.17.0-2
gtk-update-icon-cache 1:4.22.4-1
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtkmm 1:2.24.5-5
gtkmm-4.0 4.22.0-2
gtksourceview4 4.8.4-2
gtksourceview5 5.20.0-1
guile 3.0.11-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.10-1
gupnp-av 0.14.5-1
gupnp-dlna 0.12.0-5
gupnp-igd 1.6.0-2
gvfs 1.60.2-3
gvfs-afc 1.60.2-3
gvfs-dnssd 1.60.2-3
gvfs-goa 1.60.2-3
gvfs-gphoto2 1.60.2-3
gvfs-mtp 1.60.2-3
gvfs-nfs 1.60.2-3
gvfs-onedrive 1.60.2-3
gvfs-smb 1.60.2-3
gvfs-wsdd 1.60.2-3
gweather-locations 2026.2-1
gzip 1.14-2
harfbuzz 14.3.1-1
harfbuzz-icu 14.3.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hiredis 1.3.0-1
htop 3.5.3-1
hwdata 0.410-1
hwloc 2.14.0-1
hyphen 2.8.9-1
iana-etc 20260617-1
ibus 1.5.34-1
ibus-chewing 2.2.0-1
icu 78.3-1
iio-sensor-proxy 3.9-1
ijs 0.35-7
imagemagick 7.1.2.30-1
imath 3.2.3-1
imlib2 1.12.6-2
iniparser 4.2.6-2
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
jansson 2.15.1-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jdk-openjdk 26.0.2.1.u1-1
js140 140.14.0-1
json-c 0.19-1
json-glib 1.10.8-1
kbd 2.10.0-1
kdbusaddons 6.29.0-1
kdsingleapplication 1.2.1-1
keyutils 1.6.3-4
kitemviews 6.29.0-1
kmod 34.2-1
kotlin 2.4.10-1
krb5 1.22.2-1
kwidgetsaddons 6.29.0-1
kwindowsystem 6.29.0-1
l-smash 2.14.5-4
